unique_key,person,father_key,mother_key,reference
Abraham,Abraham,Terah,Thara,Gen.11.26
Ishmael,Ishmael,Abraham,Hagar,Gen.16.11
Isaac,Isaac,Abraham,Sarah,Gen.17.19
Zimran,Zimran,Abraham,Ketura,Gen.25.2
Jokshan,Jokshan,Abraham,Ketura,Gen.25.2
Medan,Medan,Abraham,Ketura,Gen.25.2
Midian,Midian,Abraham,Ketura,Gen.25.2
Ishbak,Ishbak,Abraham,Ketura,Gen.25.2
Shuah,Shuah,Abraham,Ketura,Gen.25.2
Sheba,Sheba,Jokshan,,Gen.25.3
Sheba,Sheba,Jokshan,,Gen.25.3
Esau,Esau,Isaac,Rebekah,Gen.25.25
Jacob,Jacob,Isaac,Rebekah,Gen.25.26
Nebajoth,Nebajoth,Ishmael,,Gen.25.13
Kedar,Kedar,Ishmael,,Gen.25.13
Adbeel,Adbeel,Ishmael,,Gen.25.13
Mibsam,Mibsam,Ishmael,,Gen.25.13
Mishma,Mishma,Ishmael,,Gen.25.14
Dumah,Dumah,Ishmael,,Gen.25.14
Massa,Massa,Ishmael,,Gen.25.14
Hadar,Hadar,Ishmael,,Gen.25.15
Tema,Tema,Ishmael,,Gen.25.15
Jetur,Jetur,Ishmael,,Gen.25.15
Naphish,Naphish,Ishmael,,Gen.25.15
Kedemah,Kedemah,Ishmael,,Gen.25.15
Mahalath,Mahalath,Ishmael,,Gen.28.9
Rebekah,Rebekah,Bethuel,,Gen.22.23
Laban,Laban,Bethuel,,Gen.24.29
Bethuel,Nahor,Milcah,,Gen.22.22
Huz,Nahor,Milcah,,Gen.22.21
Buz,Nahor,Milcah,,Gen.22.21
Kemuel,Nahor,Milcah,,Gen.22.21
Chesed,Nahor,Milcah,,Gen.22.22
Haz,Nahor,Milcah,,Gen.22.22
Pildash,Nahor,Milcah,,Gen.22.22
Jidlaph,Nahor,Milcah,,Gen.22.22
Tebah,Nahor,Milcah,,Gen.22.24
Gaham,Nahor,Milcah,,Gen.22.24
Thahash,Nahor,Milcah,,Gen.22.24
Maachah,Nahor,Milcah,,Gen.22.24
