ESV	Root	Lat	Lon	Verses	Comment
Ekron		31.77761410537458	34.85214575880509	Josh 13:3, Josh 15:11, Josh 15:45, Josh 15:46, Josh 19:43, Judg 1:18, 1 Sam 5:10, 1 Sam 6:16, 1 Sam 6:17, 1 Sam 7:14, 1 Sam 17:52, 2 Kgs 1:2, 2 Kgs 1:3, 2 Kgs 1:6, 2 Kgs 1:16, Jer 25:20, Amos 1:8, Zeph 2:4, Zech 9:5, Zech 9:7	
Elam	Susa	>32.18919123705116	>48.25788647687722	Gen 14:1, Gen 14:9, Isa 11:11, Isa 21:2, Isa 22:6, Jer 25:25, Jer 49:34, Jer 49:35, Jer 49:36, Jer 49:37, Jer 49:38, Jer 49:39, Ezek 32:24, Dan 8:2	region
Elath		29.528502	35.005732	Deut 2:8, 2 Kgs 14:22, 2 Kgs 16:6	
El-bethel	Bethel 1	<31.93053920580005	<35.22103274923676	Gen 35:7	
Elealeh		31.813796	35.824275	Num 32:3, Num 32:37, Isa 15:4, Isa 16:9, Jer 48:34	
Elim		29.306194	32.980924	Ex 15:27, Ex 16:1, Num 33:9, Num 33:10	~
Elishah	Cyprus	35.018306	33.207693	Ezek 27:7	
Elkosh		?		Nahum 1:1	
Ellasar		>37.056944	>40.997222	Gen 14:1, Gen 14:9	region; http://en.wikipedia.org/wiki/Urkesh
Elon		31.973818	35.116531	Josh 19:43	
Elonbeth-hanan		31.852593	35.109078	1 Kgs 4:9	
Eloth	Elath	29.528502	35.005732	1 Kgs 9:26, 2 Chr 8:17, 2 Chr 26:2	
El-paran	Paran	~29.151667	~33.541944	Gen 14:6	
Elteke	Eltekeh	31.869521	35.066880	Josh 21:23	
Eltekeh		31.869521	35.066880	Josh 19:44	
Eltekon		31.660570	34.995406	Josh 15:59	from tyndale
Eltolad	Baalath-beer	~32.049953	~35.733402	Josh 15:30, Josh 19:4	
Emek-keziz	Beth-hoglah	~31.837062	~35.513151	Josh 18:21	
Emmaus		31.83945022372554	34.9895293285359	Luke 24:13	
Enaim	Timnah 1	~31.784368	~34.909680	Gen 38:14, Gen 38:21	
Enam		~32.15	~35.1260	Josh 15:34	
En-dor		32.62570020915744	35.38566744418715	Josh 17:11, 1 Sam 28:7, Ps 83:10	
Eneglaim		~30.998062	~35.498547	Ezek 47:10	
En-gannim 1		31.750000	34.950106	Josh 15:34	~
En-gannim 2		32.46349905885267	35.3036831926058	Josh 19:21, Josh 21:29	
Engedi		31.46152536164766	35.39241108242345	Josh 15:62, 1 Sam 23:29, 1 Sam 24:1, 2 Chr 20:2, Sng 1:14, Ezek 47:10	
En-haddah		32.478425	35.254452	Josh 19:21	
En-hakkore	Beth-shemesh 1	~31.75274835811488	~34.97660913147738	Judg 15:19	
En-hazor		33.100000	35.350000	Josh 19:37	~
En-mishpat	Kadesh-barnea	30.68771281376111	34.49479554246946	Gen 14:7	
En-rimmon	Ain 2	31.370835	34.860665	Neh 11:29	
En-rogel		31.767775	35.234408	Josh 15:7, Josh 18:16, 2 Sam 17:17, 1 Kgs 1:9	
En-shemesh		31.774020	35.270231	Josh 15:7, Josh 18:17	
En-tappuah	Tappuah 1	32.11666666666667	35.23333333333333	Josh 17:7	
Ephah	Midian	~>28.932881	~>34.90832	Isa 60:6	
Ephes-dammim		31.691186	34.944496	1 Sam 17:1	
Ephesus		37.95331433666365	27.36782511573013	Acts 18:19, Acts 18:21, Acts 18:24, Acts 19:1, Acts 19:17, Acts 19:26, Acts 19:35, Acts 20:16, Acts 20:17, 1 Cor 15:32, 1 Cor 16:8, Eph 1:1, 1 Tim 1:3, 2 Tim 1:18, 2 Tim 4:12, Rev 1:11, Rev 2:1	
Ephraim	Ophrah 1	31.95378955858199	35.29913577541004	John 11:54	
Ephraim Gate	Jerusalem	<31.777444	<35.234935	2 Kgs 14:13, 2 Chr 25:23	
Ephrath	Bethlehem 1	31.70536129174666	35.21026630105202	Gen 35:16, Gen 35:19, Gen 48:7	
Ephrathah	Bethlehem 1	31.70536129174666	35.21026630105202	Ruth 4:11, Ps 132:6	
Ephron 1	Mount Ephron	~31.675746	~35.042407	Josh 18:15	
Ephron 2	Ophrah 1	31.95378955858199	35.29913577541004	2 Chr 13:19	
Erech		32.322222	45.636111	Gen 10:10, Ezra 4:9	now Uruk
Esau	Bozrah 1	>30.734691	>35.606250	Gen 36:40, Jer 49:10, Obad 1:6, Obad 1:18	
Esek	Gerar	~31.39129109635703	~34.56057015639144	Gen 26:20	
Eshan		31.420175	35.033537	Josh 15:52	
Eshtaol		31.782429	35.009012	Josh 15:33, Josh 19:41, Judg 13:25, Judg 16:31, Judg 18:2, Judg 18:8, Judg 18:11	
Eshtemoa	Anim	31.373521	35.074552	Josh 21:14, 1 Sam 30:28, 1 Chr 6:57	
Eshtemoh	Anim	31.373521	35.074552	Josh 15:50	
Etam 1		31.736294	35.054850	Judg 15:8, Judg 15:11	http://www.tiuli.com/english/Judean_Mountains/Judean_Mountains.asp
Etam 2	Ain 2	~31.370835	~34.860665	1 Chr 4:32	
