Rom.2.22,G3431,1 2,3 4,,
Jas.2.11,G3431,1 2,3 4,,
1Co.15.27,G5293,1 2 3,4 5 6,7 8 9,
1Co.15.28,G5293,1,2 3,4,
Heb.2.8,G5293,1 2 3,4,5,
Col.3.25,G0091,1 2,3 4,,
Rev.22.11,G0091,1 2,3 4,,
Jhn.19.38,G0142,1 2,3 4,,
Act.8.33,G0142,1 2,3 4,,
1Pe.2.10,G1653,1 2,3 4,,
Rom.9.15,G1653,1 2,3 4,,
Mat.18.33,G1653,1 2,3 4,,
Rev.11.12,G0305,1 2,3 4,,
Jhn.7.10,G0305,1 2,3 4,,
Jhn.7.8,G0305,1 2,3 4,,
Jud.1.20,G0040,1 2,3,,
1Pe.1.15,G0040,1 2,3,,
Rom.7.13,G0018,1 2,3,,
2Co.13.12,G0040,1,-,,
1Jn.3.12,G4190,1 2,3,,
Luk.6.45,G4190,1,2,3 4 5,
Mat.12.45,G4190,1 2,3,,
Mat.12.35,G4190,1,2,3 4,
Rom.13.3,G0018,1,2 3 4,,
Mat.19.17,G0018,1 2 3,4,,
Mat.12.35,G0018,1,2,3 4,
2Co.13.12,G0782,1,-,,
Luk.11.19,G1544,1 2,3 4,,
Luk.6.42,G1544,1 2,3 4,5 6,
Mat.12.27,G1544,1 2,3 4,,
Mat.7.5,G1544,1 2,3 4,,
Heb.11.8,G1831,1 2,3,,
Act.16.18,G1831,1 2,3 4,,
Luk.11.24,G1831,1 2,3,,
Luk.8.35,G1831,1 2,3 4,,
Luk.4.35,G1831,1 2,3 4,,
Mat.17.25,G3004,1,2 3,,
Rom.2.22,G3431,1 2,3 4,,
Mat.5.21,G5407,1,2 3,,
Mat.6.34,G3309,1,2 3,,
Mat.9.22,G4982,1 2,3 4,,
Mat.12.13,G1614,1 2,3 4,,
Mat.18.12,G4105,1 2,3,,
Mat.18.25,G0591,1,2 3,,
Mat.19.12,G2134,1 2,3 4,,
Mat.21.21,G1437,1,-,,
Mat.23.13,G1525,1,2,3 4,
Mat.23.37,G1996,1 2,3,,
Mat.24.5,G4183,1,2 3,,
Mat.24.11,G4183,1,2 3,,
Mat.24.22,G2856,1 2,3 4,,
Mat.24.35,G3928,1 2,3 4,,
Mat.26.3,G0749,1 2,3 4,,
Mat.26.33,G4624,1 2,3 4,,
Mat.26.60,G4334,1 2,3 4,,
Mrk.2.8,G1260,1,2 3,,
Mrk.3.5,G1614,1 2,3 4,,
Mrk.5.28,G1437,1,-,,
Mrk.6.34,G4183,1,2 3,,
Mrk.7.36,G1291,1 2,3,,
Mrk.10.33,G3860,1 2,3 4,,
Mrk.12.41,G4183,1,2 3,,
Mrk.14.53,G0749,1 2,3 4,,
Luk.6.33,G0015,1 2,3 4,,
Luk.8.24,G1326,1,2 3,,
Luk.8.32,G2010,1,2 3,,
Luk.9.36,G3762,1 2,3,,
Luk.13.14,G2323,1,2 3,,
Luk.14.18,G3868,1 2,3,,
Jhn.3.14,G5312,1 2,3 4,,
Jhn.9.18,G0308,1 2,3 4,,
Jhn.10.9,G1525,1,2 3,,
Jhn.10.18,G5087,1 2,3 4,,
Jhn.14.7,G1097,1,-,2,
Jhn.16.21,G1080,1 2,3,,
Jhn.17.26,G1107,1 2,3 4,,
Jhn.18.15,G0749,1 2,3 4,,
Jhn.21.18,G2224,1 2 3,4 5 6,,
Act.9.34,G0450,1 2,3 4,,
Act.10.29,G3343,1 2,3 4,,
Act.15.17,G2962,1,-,,
Act.22.13,G0308,1 2,3 4,,
Act.25.11,G3762,1,2 3,,
Act.25.21,G5083,1 2 3,4 5 6,,
Rom.2.1,G2919,1 2,3,4,
Rom.9.15,G3627,1 2,3 4,,
Rom.11.18,G2620,1 2,3,,
Rom.11.23,G1461,1 2,3 4,,
Rom.13.2,G0436,1 2,3,,
Rom.14.4,G2476,1,2 3,,
Rom.14.6,G2068,1,2 3,4,5
1Co.7.2,G1538,1 2,3,,
1Co.7.17,G1538,1 2,3,,
1Co.8.4,G3762,1 2 3,4,,
1Co.8.13,G4624,1 2 3,4 5 6,,
1Co.9.15,G3762,1,2 3,,
1Co.9.16,G2097,1 2,3 4,,
1Co.10.8,G4203,1 2 3,4,,
1Co.11.6,G2751,1 2 3,4 5 6,,
1Co.13.8,G2673,1 2 3,4 5 6,,
1Co.13.12,G1921,1 2,3 4,,
1Co.16.5,G1330,1 2,3 4,,
2Co.2.2,G3076,1 2,3 4,,
2Co.3.10,G1392,1 2,3 4,,
2Co.5.11,G5319,1 2,3 4,,
2Co.7.8,G3076,1 2,3 4,,
2Co.8.22,G4183,1 2,3 4,5,
2Co.9.8,G4052,1 2,3 4 5,,
2Co.12.11,G3762,1 2,3,,
Gal.1.8,G2097,1 2,3,,
Gal.3.15,G0444,1 2,3,,
Gal.5.15,G0240,1 2,3 4,,
Gal.5.26,G0240,1 2,3 4,,
Php.2.2,G5426,1 2 3,4 5 6,,
Php.2.4,G1538,1,-,,
Php.2.7,G0444,1,-,,
Php.3.12,G2638,1 2 3,4 5 6,,
Php.3.15,G5426,1 2,3 4,,
2Ti.2.5,G0118,1 2 3 4,5,,
Heb.6.13,G3660,1 2 3,4,,
Heb.7.27,G0399,1 2,3 4,,
Heb.8.13,G3822,1 2,3 4,,
Heb.11.5,G3346,1 2,3 4,,
Heb.11.17,G4374,1 2,3 4,,
Jas.3.6,G5394,1 2 3,4 5 6,,
Jas.4.8,G1448,1 2,3 4,,
Jas.4.11,G2635,1 2,3 4,5 6,
Jas.4.17,G4160,1,2 3,,
Jas.5.7,G3114,1 2,3 4,,
Jas.5.16,G0240,1 2,3 4,,
1Jn.3.16,G5087,1 2,3 4,,
1Jn.5.16,G0264,1,2 3,,
3Jn.1.12,G3140,1 2 3,4,,
Rev.2.10,G3195,1 2,3 4,,
Rev.12.4,G5088,1 2,3 4,,
Rev.18.6,G0591,1 2,3,,
Rev.20.13,G1325,1 2,3 4,,
Rev.22.19,G0851,1 2,3 4,,
Mat.5.18,G1520,-,1,,
Mat.9.2,G3885,1 2,3 4,,
Mat.10.41,G1342,1 2,3 4,5 6,
Mat.12.22,G2974,1 2 3,4 5 6 7,,
Mat.12.29,G2478,1 2,3,,
Mat.15.14,G5185,1,2 3,4 5,6
Mat.15.33,G5118,1 2,3 4 5,,
Mat.18.7,G4625,1 2,3 4,5 6,
Mat.21.19,G4808,1 2,3 4,,
Mat.27.43,G2316,1 2,3,,
Mrk.3.27,G2478,1 2,3 4,,
Mrk.8.38,G1870,1 2,3 4,,
Mrk.12.23,G1135,1,-,,
Mrk.13.1,G4217,1 2,3 4,,
Mrk.13.24,G1565,1,-,,
Mrk.15.46,G3419,-,1,,
Mrk.15.46,G4616,1 2,3 4,,
Mrk.16.18,G5495,-,1,,
Luk.5.36,G1915,1 2 3,4,,
Luk.6.39,G5185,1 2 3 4,5 6 7,,
Luk.7.18,G2491,1,-,,
Luk.7.18,G3101,1,-,,
Luk.9.26,G1870,1 2,3 4,,
Luk.11.14,G2974,1,2 3 4 5,,
Luk.12.19,G5590,1,-,,
2Co.12.3,G1492,1 2,3,4,
Luk.14.29,G3361,1,-,,
Luk.15.8,G1406,1 2,3,,
Jhn.1.11,G2398,1,-,,
Jhn.10.32,G2041,1,-,,
Jhn.14.19,G2089,1,2 3,,
Jhn.14.30,G3756,2,1,,
