Gen.1	God creates the heavens and the earth. The earth and heavens are water. Then He creates light. He separates light from darkness, and this becomes the definition of day and night. That was the first day as we know it. On the second day, God separates the earth waters and heaven waters with sky. On the third day, God moves all the water on the earth to one place called seas, and the rest of the earth, now dry, was called land; and He made every type of plant, and the plants that grow on that land that bear seed, and plants that had seeds in fruit; and those seeds would make the same types of plants from which they came. On the fourth day, God made the sun and the moon and the stars to mark seasons, days, and years. On the fifth day, God made every type of bird and every type of creature in the ocean. On the sixth day, God made every type of creature that moves on the land; and God created man in His image; and God created woman; and God told man to fill the earth with his offspring and rule it; and God told man that man governs over everything on earth; and God said seed-bearing plants and fruit bearing trees will be man's food, while everything else (except the creatures in the sea) will eat green plants for food. Everything that God created was labeled as good.
Gen.2	The seventh day was holy, blessed by God when He rested on that day. During the creation of the earth, streams sprung up from the ground to water the earth. God made man from the dust of the earth and breathed the breath of life into his nose. God made a garden, which was full of pretty trees that were good for food, called Eden and He placed man there to live and to tend to the garden. In the middle of the garden were the tree of life and the tree of the knowledge of good and evil. God said to man that he could eat the fruit of any tree in the garden except for the tree of the knowledge of good and evil, for he will die if he does eat of that tree. God parades the birds, the livestock, and the beasts of the field in front of man for him to name. The man, now called <jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler>Adam</jLink></jLink></jLink>, is put to sleep by God. During <jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler>Adam</jLink></jLink></jLink>'s sleep, God takes part of him (a rib) from which to make a woman. Thereby, husband and wife together shall be considered one flesh.
Gen.3	The serpent convinces the woman to eat of the tree of the knowledge of good and evil, and the woman in turn convinces man to eat of the same tree. Suddenly they realize they are naked and make clothing out of fig leaves. The serpent is cursed by God for this action, making it crawl on its belly and be attacked by man. The woman is cursed by God to have increased pain in child birth and to be ruled by her husband. <jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler>Adam</jLink></jLink></jLink> is cursed by God with having to work the land hard for food, saying he will eat the plants of the field. God will make thorns and thistles grow on the land. <jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler>Adam</jLink></jLink></jLink>'s wife is called <jLink data-type='P' data-strong='H2332' clickHandler><jLink data-type='P' data-strong='H2332' clickHandler><jLink data-type='P' data-strong='H2332' clickHandler>Eve</jLink></jLink></jLink>. Man has become like God, knowing good and evil. <jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler>Adam</jLink></jLink></jLink> and <jLink data-type='P' data-strong='H2332' clickHandler><jLink data-type='P' data-strong='H2332' clickHandler><jLink data-type='P' data-strong='H2332' clickHandler>Eve</jLink></jLink></jLink> are banished from the garden, and the tree of life is guarded by cherubim and a flaming sword.
Gen.4	<jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler>Adam</jLink></jLink></jLink> and <jLink data-type='P' data-strong='H2332' clickHandler><jLink data-type='P' data-strong='H2332' clickHandler><jLink data-type='P' data-strong='H2332' clickHandler>Eve</jLink></jLink></jLink> begot <jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler>Cain</jLink></jLink></jLink> and <jLink data-type='P' data-strong='H1893' clickHandler><jLink data-type='P' data-strong='H1893' clickHandler><jLink data-type='P' data-strong='H1893' clickHandler>Abel</jLink></jLink></jLink>. <jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler>Cain</jLink></jLink></jLink> was a farmer. <jLink data-type='P' data-strong='H1893' clickHandler><jLink data-type='P' data-strong='H1893' clickHandler><jLink data-type='P' data-strong='H1893' clickHandler>Abel</jLink></jLink></jLink> was a shepherd. <jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler>Cain</jLink></jLink></jLink> offered plants to God, while <jLink data-type='P' data-strong='H1893' clickHandler><jLink data-type='P' data-strong='H1893' clickHandler><jLink data-type='P' data-strong='H1893' clickHandler>Abel</jLink></jLink></jLink> offered fat animal parts. God did not like <jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler>Cain</jLink></jLink></jLink>'s plants, but God liked <jLink data-type='P' data-strong='H1893' clickHandler><jLink data-type='P' data-strong='H1893' clickHandler><jLink data-type='P' data-strong='H1893' clickHandler>Abel</jLink></jLink></jLink>'s offering. <jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler>Cain</jLink></jLink></jLink> was angry. <jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler>Cain</jLink></jLink></jLink> was jealous of <jLink data-type='P' data-strong='H1893' clickHandler><jLink data-type='P' data-strong='H1893' clickHandler><jLink data-type='P' data-strong='H1893' clickHandler>Abel</jLink></jLink></jLink>'s favor with the Lord. <jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler>Cain</jLink></jLink></jLink>'s anger and jealously provoked him to kill <jLink data-type='P' data-strong='H1893' clickHandler><jLink data-type='P' data-strong='H1893' clickHandler><jLink data-type='P' data-strong='H1893' clickHandler>Abel</jLink></jLink></jLink>. <jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler>Cain</jLink></jLink></jLink> is cursed by God with not being able to farm and to restlessly wander the earth. <jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler>Cain</jLink></jLink></jLink> is marked by God so that God will curse a killer of <jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler>Cain</jLink></jLink></jLink> seven times over. <jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler>Cain</jLink></jLink></jLink> moves away and reproduces. <jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler>Cain</jLink></jLink></jLink>'s great, great, great grandson <jLink data-type='P' data-strong='H3929G' clickHandler><jLink data-type='P' data-strong='H3929G' clickHandler><jLink data-type='P' data-strong='H3929G' clickHandler>Lamech</jLink></jLink></jLink> says <jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler><jLink data-type='P' data-strong='H7014B' clickHandler>Cain</jLink></jLink></jLink>'s “killer curse” is eleven times stronger with him. <jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler>Adam</jLink></jLink></jLink> and <jLink data-type='P' data-strong='H2332' clickHandler><jLink data-type='P' data-strong='H2332' clickHandler><jLink data-type='P' data-strong='H2332' clickHandler>Eve</jLink></jLink></jLink> begot <jLink data-type='P' data-strong='H8352' clickHandler><jLink data-type='P' data-strong='H8352' clickHandler><jLink data-type='P' data-strong='H8352' clickHandler>Seth</jLink></jLink></jLink> to replace <jLink data-type='P' data-strong='H1893' clickHandler><jLink data-type='P' data-strong='H1893' clickHandler><jLink data-type='P' data-strong='H1893' clickHandler>Abel</jLink></jLink></jLink>.
Gen.5	The lineage from <jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler><jLink data-type='P' data-strong='H0121G' clickHandler>Adam</jLink></jLink></jLink> to <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink>, totaling 1056 years.
Gen.6	The “sons of God” married the daughters of men. Humans will live no more than 120 years from now on. The <jLink data-type='P' data-strong='H5303' clickHandler><jLink data-type='P' data-strong='H5303' clickHandler><jLink data-type='P' data-strong='H5303' clickHandler>Nephilim</jLink></jLink></jLink> had offspring with the daughters of man. Men thought only of evil all the time. God was sorry He ever made man and said He would wipe every creature off the earth. But <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> was the one and only man of the time that did not sin. God walked with <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink>. God told <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> make a big boat, because He will flood the earth and all life under the heavens will perish with the exception of the life on that boat. <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> is to bring his three sons, their wives, and two of every kind of creature on the face of the earth, male and female, on the boat. <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> is to gather and store every type of food needed by the animals that will be eaten during the flood. <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> did what God told him to do.
Gen.7	Now God tells <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> to bring seven male/female pairs of every kind of clean animals, two pairs of every kind of unclean animals, and seven pairs of every kind of bird to preserve all of these creatures throughout the earth; for He will flood the earth in seven days and kill every living creature on the face of the earth. The flood began when <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> was 600 years old, in 1656 AC. <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> and his wife, his sons and their wives all board the boat, as did all the previously noted pairs of animals under Gods will. It rained for forty days and forty nights; the floodgates of the heavens opened and springs of the great deep burst open. The water on the earth rose high enough to cover the highest mountain by at least twenty feet. Every living thing on the face of the earth was destroyed. The waters flooded the earth for 150 days.
Gen.8	The floodgates of the heavens closed, and springs of the great deep closed. God made wind drive back the water. After a while, the boat settled on a mountain. <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> sent out a raven and a dove to look for dry land. No luck. He waited seven days and sent the dove out again. It returned with an olive leaf. About a year after the flood had began, it was over. God tells <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> to bring everything out of the boat and to go forth and multiply. <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> took some clean animals and clean birds and made a burnt offering of them. God says that even though man is evil, He will never again destroy all living creatures. "As long as the earth endures, seed time and harvest, cold and heat, summer and winter, day and night will never cease.
Gen.9	God tells <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> to reproduce and fill the earth. All creatures will now fear man. All creatures, as are all plants, now man's to eat. Man must kill the creature before eating it. Man must not kill another man. Never again will God flood the world. His rainbow will remind him of that promise. <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> made a vineyard, and drank of wine from it. He fell asleep naked. <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink>'s son <jLink data-type='P' data-strong='H2526G' clickHandler><jLink data-type='P' data-strong='H2526G' clickHandler><jLink data-type='P' data-strong='H2526G' clickHandler>Ham</jLink></jLink></jLink> saw <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> naked and convinced his other brothers to cover him. They did so not looking at him. <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> was angry when he found out what had happened. <jLink data-type='P' data-strong='H2526G' clickHandler><jLink data-type='P' data-strong='H2526G' clickHandler><jLink data-type='P' data-strong='H2526G' clickHandler>Ham</jLink></jLink></jLink>'s son <jLink data-type='P' data-strong='H3667G' clickHandler><jLink data-type='P' data-strong='H3667G' clickHandler><jLink data-type='P' data-strong='H3667G' clickHandler>Canaan</jLink></jLink></jLink> was cursed by <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> into servitude of <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink>'s son <jLink data-type='P' data-strong='H8035' clickHandler><jLink data-type='P' data-strong='H8035' clickHandler><jLink data-type='P' data-strong='H8035' clickHandler>Shem</jLink></jLink></jLink> because of <jLink data-type='P' data-strong='H2526G' clickHandler><jLink data-type='P' data-strong='H2526G' clickHandler><jLink data-type='P' data-strong='H2526G' clickHandler>Ham</jLink></jLink></jLink>'s actions. <jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler><jLink data-type='P' data-strong='H5146' clickHandler>Noah</jLink></jLink></jLink> died in 2006 AC.
Gen.10	More lineage information. <jLink data-type='P' data-strong='H5248' clickHandler><jLink data-type='P' data-strong='H5248' clickHandler><jLink data-type='P' data-strong='H5248' clickHandler>Nimrod</jLink></jLink></jLink> is a mighty hunter. In the time of <jLink data-type='P' data-strong='H6389' clickHandler><jLink data-type='P' data-strong='H6389' clickHandler><jLink data-type='P' data-strong='H6389' clickHandler>Peleg</jLink></jLink></jLink> the earth was divided.”
